Country,capital_lat,capital_long,Population,GDPPerCapita,HappinessRank,HappinessScore,Whisker.high,Whisker.low,Economy..GDP.per.Capita.,Family,HealthLifeExpectancy,Freedom,Generosity,TrustGovernmentCorruption,DystopiaResidual,WikepediaPage
Sweden,59.33333333,18.05,10057698,53253.4766,9,7.28399992,7.34409488,7.22390496,1.49438727,1.47816217,0.83087516,0.6129241,0.38539925,0.38439873,2.097537994,https://en.wikipedia.org/wiki/Sweden
Switzerland,46.91666667,7.466667,8451840,80333.4449,4,7.49399996,7.56177242,7.4262275,1.56497955,1.51691175,0.85813129,0.62007058,0.29054928,0.36700729,2.276716232,https://en.wikipedia.org/wiki/Switzerland
Syria,33.5,36.3,17068002,890,152,3.46199989,3.66366856,3.26033123,0.77715313,0.39610261,0.50053334,0.08153944,0.49366373,0.15134713,1.061573505,https://en.wikipedia.org/wiki/Syria
Taiwan_Province_of_China,25.03333333,121.516667,23571000,24408,33,6.42199993,6.49459602,6.34940384,1.43362653,1.38456535,0.79398423,0.36146659,0.25836048,0.06382924,2.126607418,https://en.wikipedia.org/wiki/Taiwan
Tajikistan,38.55,68.766667,8880268,806.041573,96,5.04099989,5.1114256,4.97057418,0.52471364,1.27146327,0.52923512,0.47156671,0.24899764,0.14637715,1.84904933,https://en.wikipedia.org/wiki/Tajikistan
Tanzania,-6.8,39.283333,54663906,1004.84112,153,3.34899998,3.46142976,3.2365702,0.51113588,1.0419898,0.36450928,0.39001778,0.35425636,0.06603511,0.621130466,https://en.wikipedia.org/wiki/Tanzania
Thailand,13.75,100.516667,69209858,6578.18887,32,6.42399979,6.50911686,6.33888272,1.12786877,1.42579246,0.64723903,0.58020073,0.57212311,0.03161274,2.039508343,https://en.wikipedia.org/wiki/Thailand
Togo,-21.13333333,-175.2,7698475,619.066371,150,3.49499989,3.59403811,3.39596166,0.30544472,0.43188253,0.24710557,0.38042614,0.19689615,0.09566502,1.837229252,https://en.wikipedia.org/wiki/Togo
Trinidad_and_Tobago,10.65,-61.516667,1369000,16076.082,38,6.16800022,6.38153389,5.95446655,1.3613559,1.38022852,0.51998329,0.51863074,0.32529646,0.00896482,2.053247452,https://en.wikipedia.org/wiki/Trinidad_and_Tobago
Tunisia,36.8,10.183333,11433443,3494.31886,102,4.80499983,4.88436701,4.72563265,1.00726581,0.86835146,0.61321205,0.28968069,0.04969336,0.08672315,1.89025116,https://en.wikipedia.org/wiki/Tunisia
Turkey,39.93333333,32.866667,81101892,10499.7456,69,5.5,5.59486496,5.40513504,1.19827437,1.33775318,0.63760561,0.3007406,0.04669304,0.09967158,1.879277945,https://en.wikipedia.org/wiki/Turkey
Turkmenistan,37.95,58.383333,5757669,6587.09032,59,5.82200003,5.88518088,5.75881918,1.13077676,1.49314916,0.43772608,0.41827193,0.24992499,0.25927034,1.832909822,https://en.wikipedia.org/wiki/Turkmenistan
Uganda,0.316666667,32.55,41162465,631.52272,133,4.08099985,4.19579997,3.96619974,0.38143072,1.12982774,0.21763261,0.44318596,0.32576606,0.05706972,1.526362658,https://en.wikipedia.org/wiki/Uganda
Ukraine,50.43333333,30.516667,44831135,2640.67568,132,4.09600019,4.1854101,4.00659028,0.89465195,1.39453757,0.57590395,0.12297478,0.27006146,0.02302947,0.814382315,https://en.wikipedia.org/wiki/Ukraine
United_Arab_Emirates,24.46666667,54.366667,9487203,40325.382,21,6.64799976,6.7220473,6.57395222,1.62634337,1.26641023,0.72679824,0.60834527,0.36094195,0.32448956,1.734703541,https://en.wikipedia.org/wiki/United_Arab_Emirates
United_Kingdom,51.5,-0.083333,66058859,39932.0603,19,6.71400023,6.78379176,6.64420869,1.44163394,1.49646008,0.80533594,0.50819004,0.49277416,0.26542807,1.704143524,https://en.wikipedia.org/wiki/United_Kingdom
United_States,38.883333,-77,325147121,59927.9298,14,6.99300003,7.07465675,6.91134331,1.54625928,1.41992056,0.77428663,0.50574052,0.39257878,0.13563879,2.218113422,https://en.wikipedia.org/wiki/United_States
Uruguay,-34.85,-56.166667,3436646,1826.56704,28,6.454,6.54590622,6.36209377,1.2175597,1.41222787,0.71921682,0.57939225,0.17509693,0.17806187,2.172409534,https://en.wikipedia.org/wiki/Uruguay
Uzbekistan,41.31666667,69.25,32388600,1504,47,5.97100019,6.06553757,5.87646282,0.78644109,1.54896915,0.49827263,0.65824866,0.41598365,0.24652822,1.816913605,https://en.wikipedia.org/wiki/Uzbekistan
Venezuela,10.48333333,-66.866667,29390409,4894,82,5.25,5.37003195,5.12996805,1.1284312,1.43133759,0.61714423,0.15399712,0.06501963,0.06449112,1.789463758,https://en.wikipedia.org/wiki/Venezuela
Vietnam,21.03333333,105.85,94596642,2365.62167,94,5.07399988,5.14728076,5.000719,0.78854758,1.27749133,0.65216899,0.57105559,0.23496805,0.08763324,1.462318659,https://en.wikipedia.org/wiki/Vietnam
Yemen,15.35,44.2,27834821,963.494721,146,3.59299994,3.69275032,3.49324955,0.59168345,0.93538225,0.31008092,0.24946372,0.10412521,0.05676742,1.345600605,https://en.wikipedia.org/wiki/Yemen
Zambia,-15.416667,28.283333,16853688,1534.86537,116,4.51399994,4.6441055,4.38389438,0.63640678,1.0031873,0.25783589,0.46160349,0.24958014,0.07821355,1.826705456,https://en.wikipedia.org/wiki/Zambia
Zimbabwe,-17.816667,31.033333,14236745,1602.40351,138,3.875,3.97869964,3.77130036,0.37584653,1.08309591,0.19676375,0.33638421,0.18914349,0.09537538,1.597970247,https://en.wikipedia.org/wiki/Zimbabwe
